,name,sub_category,main_category,deadline,launched,status,pledged_usd,goal_usd,duration,year,quarter,profit
2015,Out Of Hand,performances,dance,08/01/2016,10/12/2015,successful,5630,5000,29,2015,Q2,0.126
879,Out of the Darkness,performances,dance,17/12/2014,17/11/2014,failed,560.2,7511.03,30,2014,Q2,NA
3013,out out there (A Whole Night Lost) FRIDAY THE 13TH EDITION,dance,dance,11/04/2012,06/03/2012,successful,2605,2500,36,2012,Q3,0.042
3967,Outbreak Dance Collective,performances,dance,03/02/2019,04/01/2019,failed,11,7000,30,2019,Q2,NA
3425,Outstanding Starz are growing and we need more space.,spaces,dance,22/10/2017,22/09/2017,failed,0,10000,30,2017,Q2,NA
2920,Ovation Art of Movement (Canceled),dance,dance,21/12/2014,21/11/2014,canceled,0,7000,30,2014,Q2,NA
3284,Overcome Your Fear of Dancing,workshops,dance,17/04/2017,18/03/2017,failed,53.49,106980.48,30,2017,Q2,NA
849,OVERFLOW,performances,dance,14/07/2015,14/06/2015,successful,4081,4000,30,2015,Q2,0.02025
53,OVERSIZED Two,dance,dance,07/06/2011,15/05/2011,successful,475,400,23,2011,Q2,0.1875
2740,Pachamama - Mother World,dance,dance,23/02/2013,23/01/2013,successful,2682,2500,31,2013,Q3,0.0728
748,Paintings of Frida and Diego In Movement,dance,dance,14/07/2012,12/06/2012,failed,2348,6500,32,2012,Q3,NA
1839,"Panacea Performing Arts - ""Perseverance""",dance,dance,06/07/2012,05/06/2012,successful,1000,1000,31,2012,Q3,0
2586,PANDORA'S BOX Presented By Inertia Initiative Dance Company,performances,dance,26/04/2015,27/02/2015,failed,138,1000,58,2015,Q4,NA
674,Papa Turnt - Dancer and Entertainer for Music Festivals,performances,dance,21/07/2015,21/06/2015,failed,1,300,30,2015,Q2,NA
2616,PaperPieces,performances,dance,23/09/2014,01/09/2014,successful,4273,4000,22,2014,Q2,0.06825
1049,Parade 100 Year Anniversary Performance,performances,dance,01/02/2017,13/01/2017,successful,3165,3000,19,2017,Q2,0.055
199,PARA-DICE,dance,dance,11/11/2010,12/10/2010,successful,2000,2000,30,2010,Q2,0
3162,PARC presents Baba Yaga - An Original Story Ballet,performances,dance,07/05/2016,23/03/2016,successful,2225,1500,45,2016,Q3,0.483333333
1719,PARE in the NY Fringe Festival,dance,dance,14/05/2012,28/04/2012,successful,801,700,16,2012,Q2,0.144285714
2394,Park Jamz | Las Vegas FREE B-Boy & Popping Workshops,workshops,dance,30/09/2016,31/08/2016,failed,2,10000,30,2016,Q2,NA
1448,"Parkour in Himalaya, Nepal",spaces,dance,23/04/2015,03/04/2015,failed,0.83,1650.3,20,2015,Q2,NA
