,name,sub_category,main_category,deadline,launched,status,pledged_usd,goal_usd,duration,year,quarter,profit
3669,Silverplate & Spoon,diy,crafts,02/12/2015,02/11/2015,failed,0,15000,30,2015,Q2,NA
5593,"Silversmithing, Goldsmithing & Jewellery New Designers 2015",crafts,crafts,22/03/2015,20/02/2015,failed,380.81,2603.2,30,2015,Q2,NA
4751,SilverSpun - An American made yarn spun with pure silver.,crafts,crafts,15/08/2013,16/07/2013,successful,10620,5000,30,2013,Q2,1.124
8908,Simbrix - Our best ever pixel brick kits from √<U+0082>¬£15,crafts,crafts,24/04/2017,03/04/2017,successful,5306.981738,2580.66514,21,2017,Q2,1.056439503
4516,Simone's Creations: Everything Pocket.,crafts,crafts,19/04/2016,15/03/2016,successful,1100,1000,35,2016,Q3,0.1
8228,Simone's market stall of revamped second hand goods.,diy,crafts,16/05/2016,16/04/2016,failed,0,1084.36,30,2016,Q2,NA
4521,Simple & Sweet Sugar Scrubs,crafts,crafts,01/07/2015,09/06/2015,failed,0,400,22,2015,Q2,NA
3870,Simple Bikes,woodworking,crafts,24/06/2017,25/05/2017,failed,11098.92,18160.69,30,2017,Q2,NA
3431,Simple Boxes: Laser Cut,crafts,crafts,21/05/2012,14/05/2012,failed,335,575,7,2012,Q1,NA
8196,Simple Gifts: Hand-Made Pens,woodworking,crafts,09/05/2015,09/04/2015,successful,1033.75,750,30,2015,Q2,0.378333333
7726,Simple Home Accents - Handmade Vegan Soaps,crafts,crafts,25/06/2016,26/05/2016,failed,63,1200,30,2016,Q2,NA
4769,Simple Paws (Canceled),crafts,crafts,08/11/2015,09/10/2015,canceled,0,4000,30,2015,Q2,NA
5790,Simple Stitches & Quality Crafts,crochet,crafts,13/09/2014,15/07/2014,failed,0,1000,60,2014,Q4,NA
3878,Simple Stitches Quilts & Crafts,quilts,crafts,04/08/2014,04/07/2014,failed,100,2750,31,2014,Q3,NA
3599,Simplux LED Flameless Candle,candles,crafts,29/07/2015,22/07/2015,failed,0,300,7,2015,Q1,NA
6249,Simply Curated Soy Candles,candles,crafts,08/10/2014,18/09/2014,successful,7234,6000,20,2014,Q2,0.205666667
7202,Simply Dorset Buttons Book Print Run,crafts,crafts,30/10/2016,30/09/2016,successful,1501.41,1249.09,30,2016,Q2,0.202003058
1307,Simply Felt Ireland Yarn and crafts,knitting,crafts,22/06/2017,28/05/2017,failed,40.22,2793.26,25,2017,Q2,NA
3994,Simply Paper Air Planes (Limited Edition & Stuff),diy,crafts,05/04/2016,06/03/2016,successful,49,10,30,2016,Q2,3.9
5174,Simply Paper air planes (Limited edition n stuff),diy,crafts,23/08/2014,24/07/2014,failed,18,500,30,2014,Q2,NA
8119,Simply Plain Journal / Sketchbook for artists' creations,crafts,crafts,21/10/2015,21/09/2015,failed,280,3000,30,2015,Q2,NA
4839,Simply Shabby A Salvage Chic Boutique featuring AL artisans,crafts,crafts,15/02/2017,16/01/2017,failed,35,2000,30,2017,Q2,NA
2426,Simply Skinsational Bath & Body Care,crafts,crafts,07/05/2017,07/04/2017,canceled,45,1000,30,2017,Q2,NA
3381,Simply Soy Aromas,crafts,crafts,03/09/2014,02/08/2014,successful,1005,1000,32,2014,Q3,0.005
1999,Simply Wellness Beauty Products,crafts,crafts,24/09/2017,25/08/2017,failed,1,30000,30,2017,Q2,NA
5968,Simply5280,crafts,crafts,18/05/2015,20/04/2015,failed,34,40000,28,2015,Q2,NA
6245,"Sincerely, Sunflower: Bringing Greeting Cards Back in Style",letterpress,crafts,04/02/2016,05/01/2016,successful,2111,2000,30,2016,Q2,0.0555
9479,SineCera Sawmill and Woodshop,woodworking,crafts,14/09/2018,15/08/2018,failed,23,4997,30,2018,Q2,NA
7658,Singing Owl Bath & Body,crafts,crafts,08/01/2015,09/12/2014,failed,81,500,30,2014,Q2,NA
