"","name","sub_category","main_category","deadline","launched","status","pledged_usd","goal_usd","duration","year","quarter","profit"
"15471","Oops Tees (Horribly Inaccurate T-Shirts)","apparel","fashion",2015-07-18,2015-06-18,"successful",5103,3000,30,"2015","Q2",0.701
"15472","Blame Society","fashion","fashion",2015-11-21,2015-10-22,"failed",59,1000,30,"2015","Q2",NA
"15473","HaberdashMe","apparel","fashion",2017-10-23,2017-09-15,"failed",10,10000,38,"2017","Q3",NA
"15474","Jewels By Miss Jones (Canceled)","accessories","fashion",2015-03-30,2015-01-29,"canceled",0,5000,60,"2015","Q4",NA
"15475","Red Dice Apparel","apparel","fashion",2014-05-30,2014-04-30,"failed",142.26,2324.5,30,"2014","Q2",NA
"15476","Johnny Cleveland custom t-shirt","apparel","fashion",2014-07-10,2014-06-10,"failed",106,500,30,"2014","Q2",NA
"15477","Pineapple Short & Board L.A. Shoot","apparel","fashion",2015-07-11,2015-06-11,"successful",4800,4000,30,"2015","Q2",0.2
"15478","HIPSHRUG: A Sexy & Versatile Accessory","fashion","fashion",2012-07-12,2012-06-12,"failed",1850,9000,30,"2012","Q2",NA
"15479","Elephante","fashion","fashion",2014-02-04,2014-01-05,"failed",50,5000,30,"2014","Q2",NA
"15480","KINGS. Apparel","apparel","fashion",2015-03-11,2015-02-09,"failed",11,5000,30,"2015","Q2",NA
"15481","Threads At Divine Anchor Apparel","fashion","fashion",2012-09-29,2012-07-31,"failed",150,3000,60,"2012","Q4",NA
"15482","Modern Lungi and Dhoti","fashion","fashion",2017-08-16,2017-07-17,"failed",0,2000,30,"2017","Q2",NA
"15483","Cthulhu Knitted Ski Mask","fashion","fashion",2012-05-21,2012-04-30,"successful",12649,1100,21,"2012","Q2",10.4990909090909
"15484","Guillermo Bravo Joyeria","fashion","fashion",2013-04-01,2013-03-02,"failed",695,10000,30,"2013","Q2",NA
"15485","The Best Gloves Integrated Rain Jacket","apparel","fashion",2015-11-20,2015-10-21,"failed",360.19,26719.96,30,"2015","Q2",NA
"15486","KH Cosmetics","fashion","fashion",2015-09-05,2015-08-06,"failed",0,300,30,"2015","Q2",NA
"15487","Own Canadian Sustainable Style - Ungalli Joggers!","apparel","fashion",2017-07-05,2017-05-30,"successful",47165.1,46246.34,36,"2017","Q3",0.0198666532313693
"15488","The Everyday Watch: A 10-in-1 Timepiece by MIJLO.","fashion","fashion",2014-09-07,2014-07-29,"successful",57762,22606.02,40,"2014","Q3",1.55516008567629
"15489","I can ... so I will","fashion","fashion",2015-06-08,2015-05-18,"failed",20,2200,21,"2015","Q2",NA
"15490","Switch Puppy Enamel Pin","accessories","fashion",2017-02-03,2017-01-20,"successful",335.92,99.9,14,"2017","Q1",2.36256256256256
"15491","500 Level: Unique Officially Licensed Sports Tshirts","fashion","fashion",2013-08-28,2013-07-14,"successful",21213,20000,45,"2013","Q3",0.06065
"15492","David Mason LLC","apparel","fashion",2015-04-27,2015-04-03,"successful",8000,4000,24,"2015","Q2",1
"15493","Full Color Digital Print on Cotton Fabric - Apparel & Design","apparel","fashion",2016-04-10,2016-03-11,"failed",0,60000,30,"2016","Q2",NA
"15494","MODELS OWN- Eco Aware Technical Fashion","ready-to-wear","fashion",2016-04-26,2016-03-26,"successful",2515.17,2394.64,31,"2016","Q3",0.0503332442454817
"15495","Angelo Apparel: The Stylish Boys Collection","childrenswear","fashion",2015-01-25,2014-12-11,"failed",60,30000,45,"2014","Q3",NA
"15496","ATOMIC by Design: A fashion line + tribe for curious ladies","fashion","fashion",2017-12-08,2017-10-24,"successful",10166,7000,45,"2017","Q3",0.452285714285714
"15497","Everyday clutch bag - A Handbag Made with Upcycled Leather","accessories","fashion",2016-05-06,2016-04-06,"successful",10108,10000,30,"2016","Q2",0.0108
"15498","Bonafide Collection","fashion","fashion",2013-08-11,2013-07-12,"failed",250,3500,30,"2013","Q2",NA
"15499","Give Jack a Bath","pet fashion","fashion",2015-04-19,2015-03-20,"successful",86,85,30,"2015","Q2",0.0117647058823529
"15500","Style Haven is going mobile...Put us in our Fashion Truck","apparel","fashion",2015-04-10,2015-03-11,"failed",875,6000,30,"2015","Q2",NA
